City ID,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temperature,Wind Speed
0,tena,98,EC,1615180248,84,-0.9833,-77.8167,293.65,0.85
1,vila do maio,75,CV,1615180502,72,15.1333,-23.2167,292.15,10.8
2,rikitea,100,PF,1615180502,83,-23.1203,-134.9692,299.78,8.33
3,lazaro cardenas,0,MX,1615180502,87,17.9583,-102.2,296.21,0.72
4,jamestown,1,US,1615180502,96,42.097,-79.2353,263.71,0.8
5,georgetown,20,MY,1615180502,70,5.4112,100.3354,304.15,3.09
6,castro,69,BR,1615180503,98,-24.7911,-50.0119,288.46,2.48
7,carnarvon,0,AU,1615180503,89,-24.8667,113.6333,302.15,6.69
8,avarua,40,CK,1615180503,94,-21.2078,-159.775,298.15,4.12
9,dingle,100,PH,1615180503,65,10.9995,122.6711,302.57,6.13
10,sola,100,VU,1615180504,75,-13.8833,167.55,300.89,1.98
11,dikson,100,RU,1615180504,88,73.5069,80.5464,245.49,2.88
12,busselton,97,AU,1615180504,72,-33.65,115.3333,295.93,1.79
13,husavik,0,IS,1615180504,86,66.0449,-17.3389,270.15,0.51
14,mataura,99,NZ,1615180504,79,-46.1927,168.8643,287.04,6.26
15,mar del plata,90,AR,1615180360,88,-38.0023,-57.5575,294.26,3.09
16,general roca,0,AR,1615180505,55,-39.0333,-67.5833,292.15,2.57
17,lorengau,100,PG,1615180505,73,-2.0226,147.2712,301.5,2.18
18,hajnowka,0,PL,1615180505,85,52.7433,23.5812,268.71,5.35
19,puerto ayora,75,EC,1615180505,92,-0.7393,-90.3518,298.71,0.89
20,saldanha,81,ZA,1615180506,82,-33.0117,17.9442,287.15,2.57
21,bredasdorp,100,ZA,1615180506,82,-34.5322,20.0403,289.15,3.09
22,ushuaia,40,AR,1615180281,81,-54.8,-68.3,277.15,3.09
23,hobart,75,AU,1615180506,59,-42.8794,147.3294,296.48,5.14
24,faanui,100,PF,1615180506,79,-16.4833,-151.75,301.04,7.9
25,necochea,100,AR,1615180506,93,-38.5473,-58.7368,293.15,0.89
26,albany,7,US,1615180400,43,42.6001,-73.9662,267.59,2.63
27,lebu,59,CL,1615180507,83,-37.6167,-73.65,287.66,8.04
